2020-03-12 18:39:13 [main] INFO  by.bsu.Main - Polygon[square=[Point[x=1.0, y=1.0, color=black], Point[x=1.0, y=2.0, color=black], Point[x=2.0, y=2.0, color=black], Point[x=2.0, y=1.0, color=black]], color=black]
2020-03-12 18:45:55 [main] INFO  by.bsu.Main - Line[xStart=1.0, yStart=2.0, xEnd=11.0, yEnd=23.0, length=23.259406699226016, color='black']
2020-03-12 18:45:55 [main] INFO  by.bsu.Main - Line[xStart=1.0, yStart=2.0, xEnd=12.0, yEnd=25.1, length=25.585347369148618, color='black']
2020-03-12 18:45:55 [main] INFO  by.bsu.Main - Polygon[square=[Point[x=1.0, y=1.0, color=black], Point[x=1.0, y=2.0, color=black], Point[x=2.0, y=2.0, color=black], Point[x=2.0, y=1.0, color=black]], color=black]
2020-03-12 18:46:19 [main] INFO  by.bsu.Main - Line[xStart=1.0, yStart=2.0, xEnd=11.0, yEnd=23.0, length=23.259406699226016, color='black']
2020-03-12 18:46:19 [main] INFO  by.bsu.Main - Line[xStart=1.0, yStart=2.0, xEnd=12.0, yEnd=25.1, length=25.585347369148618, color='black']
2020-03-12 18:46:19 [main] INFO  by.bsu.Main - Polygon[square=[Point[x=1.0, y=1.0, color=black], Point[x=1.0, y=2.0, color=black], Point[x=2.0, y=2.0, color=black], Point[x=2.0, y=1.0, color=black]], color=black]
2020-03-12 18:46:19 [main] INFO  by.bsu.Main - Polygon[square=[Point[x=1.0, y=1.0, color=black], Point[x=2.0, y=4.0, color=black], Point[x=4.0, y=4.0, color=black], Point[x=4.0, y=2.0, color=black]], color=black]
2020-03-12 18:49:31 [main] INFO  by.bsu.Main - Line[xStart=1.0, yStart=2.0, xEnd=11.0, yEnd=23.0, length=23.259406699226016, color='black']
2020-03-12 18:49:31 [main] INFO  by.bsu.Main - Line[xStart=1.0, yStart=2.0, xEnd=12.0, yEnd=25.1, length=25.585347369148618, color='black']
